Provider,Model,Input_Price,Output_Price,Price_Units,Input
OpenAI,Gpt-40,2.50,10,USD/Mtok,
OpenAI,gpt-4o-2024-08-06,2.50,10,USD/Mtok,
OpenAI,GPT-4o mini,0.15,0.6,USD/Mtok,
OpenAI,chatgpt-4o-latest,5,15,USD/Mtok,
Anthropic,Claude 3.5 Sonnet,3,15,USD/Mtok,
Anthropic,Claude 3.5 Haiku,1,5,USD/Mtok,
Anthropic,Claude 3 Opus,15,75,USD/Mtok,
Mistral,Large 2,2,6,USD/Mtok,
Mistral,Small 24.09,0.2,0.6,USD/Mtok,
Mistral,Codestral,0.2,0.6,USD/Mtok,
Google,Gemini 1.5 Flash (Paid Tier),0.07,0.30,USD/Mtok,
Google,Gemini 1.5 Pro (Paid Tier),1.25,5,USD/Mtok,
Cohere,Command R+,2.50,10,USD/Mtok,
Cohere,Command R,0.3,1.2,USD/Mtok,
